id,familyName,givenName,familyNameSoundex,givenNameSoundex,dateOfBirth,address,postcode,source,type,deceased
891,Berry,Mike,B6,M2,1916-01-06,403 Moses Heights,79256,"Sharp, Frye and Mathis","Pharmacist, hospital",False
892,Reynolds,Michael,R5432,M24,1907-12-27,97078 Christopher View Apt. 856,55836,Davis-Turner,Geophysical data processor,True
893,Warren,John,W65,J5,1946-04-07,06552 Paul Ports,27404,Martin-Carter,Chiropodist,True
894,Nichols,Dan,N242,D5,1971-06-28,29422 Hopkins Branch Suite 379,70361,"Sanders, Armstrong and Rodriguez",Sports coach,True
895,Wilson,Sarah,W425,S6,1981-05-08,978 Bryan Groves Suite 029,41802,"Simpson, Stewart and Mckee",Chartered loss adjuster,False
896,Cain,Robert,C5,R163,2009-01-21,11028 Heather Passage,23260,"Matthews, Fisher and Ritter",Quarry manager,False
897,Walker,Louis,W426,L2,1981-02-21,4075 Nicholas Lodge,21468,Alvarez Inc,Media planner,False
898,Allen,Jennifer,A45,J516,1975-09-16,762 Payne Station Apt. 278,72656,Mann-Huang,Corporate investment banker,True
899,Jones,Rachel,J52,R24,1956-01-12,4454 Joseph Glen Apt. 292,55531,Baker-Ryan,Primary school teacher,False
900,Nixon,Robert,N25,R163,1937-10-20,661 Potter Crossroad,06231,Cox LLC,Financial controller,True
901,Mitchell,Ronnie,M324,R5,1951-01-22,205 Isabella Underpass,76075,Smith Inc,Primary school teacher,False
902,Lowe,Sara,L,S6,1929-12-10,9320 Gail Cove,54758,"Mcintosh, Hancock and Payne",Primary school teacher,True
903,Collins,Brian,C452,B65,1918-10-29,5538 Johnson Squares,74976,Davis-Turner,Media planner,True
904,Cooper,Jason,C16,J25,2006-08-11,0494 Tyler Pine Apt. 658,04859,Solis-Morris,Jewellery designer,False
905,Hernandez,Hannah,H6532,H5,1974-07-08,585 Shannon Plains,40873,Mitchell-Odonnell,Geophysical data processor,True
906,Jenkins,Kevin,J5252,K15,1955-07-20,04800 Ramsey Ports,31346,Bradford-Richardson,Outdoor activities/education manager,True
907,Cook,William,C2,W45,1969-10-12,3616 Scott Mission Apt. 703,74851,Ellis and Sons,"Librarian, public",False
908,Shepard,Gregory,S163,G626,2007-08-20,26034 Garrett Hill Suite 863,70758,Sanchez Inc,Jewellery designer,True
909,Huber,Kelsey,H16,K42,1959-06-18,654 Cuevas Station Apt. 682,05458,White-Walsh,Mechanical engineer,True
910,Miller,Luis,M46,L2,1931-02-05,6041 Woods Track Apt. 190,76628,"Mcintosh, Hancock and Payne",Research scientist (maths),False
911,Sanchez,Bonnie,S52,B5,2005-05-07,706 Gallegos Wall Apt. 375,66634,Cox LLC,Air broker,False
912,Ferguson,Tim,F625,T5,1993-11-29,520 Emily Viaduct,78855,Hogan-Lopez,Structural engineer,False
913,Taylor,Randy,T46,R53,1918-01-07,9161 Tony Parks Apt. 884,78412,"Chandler, Hendricks and Davis",Financial controller,False
914,Waters,Michael,W362,M24,1929-06-23,823 Rhonda Turnpike Suite 185,79596,Brown Ltd,Financial controller,False
915,Clements,Barbara,C4532,B616,1939-09-11,72415 Randall View Apt. 979,11248,Miller-Sanchez,"Pharmacist, hospital",False
916,Gomez,Alicia,G52,A42,1929-05-16,1177 Matthew Stream,43525,Cox LLC,"Research officer, political party",True
917,Calderon,Melvin,C4365,M415,1955-07-13,6466 Schaefer Inlet Apt. 713,09331,"Matthews, Fisher and Ritter",Corporate investment banker,False
918,Perez,Emily,P62,E54,2003-03-15,97165 Tammy Village,94223,Greer-Adkins,"Pharmacist, hospital",True
919,Nixon,Gary,N25,G6,2022-03-31,958 Gonzalez Ways,67850,Wallace Group,Chiropodist,True
920,Torres,Anthony,T62,A535,1982-04-27,285 Amanda Stravenue Apt. 391,72862,Brown Ltd,Primary school teacher,True
921,Pollard,Matthew,P463,M3,1925-06-02,35272 Scott Common,94755,"Chandler, Hendricks and Davis",Financial controller,False
922,Singh,Jodi,S52,J3,1955-01-17,96203 White Brooks,33170,Brown Ltd,"Pharmacist, hospital",False
923,Baker,Scott,B26,S23,2008-10-03,06095 Brown Knoll Suite 312,60227,Walker-Arnold,"Journalist, broadcasting",True
924,Garcia,Linda,G62,L53,1934-01-22,16524 Olivia Villages,21699,Lane-Dickson,Research scientist (maths),True
925,Willis,Erica,W42,E62,1933-02-25,945 Herrera Manor Suite 238,20900,Thomas-Smith,Database administrator,False
926,Long,Michelle,L52,M24,1997-11-15,9573 Roberts Center,71152,Foster Ltd,Mechanical engineer,True
927,Frazier,Anthony,F626,A535,1920-02-27,56218 Gordon Burgs Suite 154,39232,Brown Ltd,Manufacturing systems engineer,True
928,Hill,Dana,H4,D5,1937-07-22,40994 Taylor Mission Suite 402,01682,Hogan-Lopez,Building control surveyor,True
929,Porter,Madison,P636,M325,2011-06-02,71639 Rebecca Point Apt. 962,88452,James-Dickerson,"Journalist, broadcasting",True
930,Ward,Kirsten,W63,K6235,1955-04-26,14769 Amy Plaza Apt. 839,63244,White-Walsh,"Production assistant, television",True
931,Flores,Abigail,F462,A124,2019-12-12,442 Coleman Village Suite 100,97827,Shah-Rodgers,Database administrator,False
932,Mckinney,Paul,M25,P4,1954-05-07,7157 Elizabeth Corners,20067,Brown Ltd,"Production assistant, television",True
933,Wallace,Kelly,W42,K4,2006-07-11,7179 Charles River,65406,"Wright, Johnson and Rice",Research scientist (maths),False
934,Walker,Maria,W426,M6,2014-09-10,5415 April Square,04799,Steele-Barber,Chiropodist,False
935,Taylor,William,T46,W45,2012-02-29,242 Mark Pike Apt. 604,59079,"Gibson, Fisher and Pierce",Chief Financial Officer,False
936,Williams,Nicole,W452,N24,1955-04-23,824 Greg Pine,14391,Walker-Arnold,Race relations officer,True
937,Riley,Phillip,R4,P41,1945-11-24,16685 Cassidy Manor,10933,Sanchez-Carroll,Hotel manager,False
938,Elliott,Kendra,E43,K536,1963-03-03,8012 Denise Loaf,59169,"Sharp, Frye and Mathis",Chief Financial Officer,False
939,Barry,Russell,B6,R24,1963-09-11,205 Ellis Forks,58465,Wallace Group,Printmaker,True
940,Blanchard,Cheryl,B45263,C64,1961-09-03,1015 Peterson Forest,90678,Collins-Nielsen,"Sound technician, broadcasting/film/video",True
941,Harris,Pamela,H62,P54,1915-09-14,534 Brandon Roads Apt. 820,77801,Gilbert-Wilkerson,Building control surveyor,False
942,Nelson,Gary,N425,G6,1960-05-06,34288 Justin Rapids Suite 164,85832,Bradford-Richardson,Outdoor activities/education manager,True
943,Barton,Gregory,B635,G626,1966-12-18,4305 Scott Trace,49665,Wallace Group,Research scientist (maths),True
944,Clark,Edward,C462,E363,1936-04-07,739 Benjamin Roads,56364,"Gibson, Fisher and Pierce","Nurse, mental health",True
945,Guzman,Michael,G25,M24,2021-03-18,50121 Lane Parkways Apt. 237,88730,Mann-Huang,"Pharmacist, hospital",False
946,Reyes,Jason,R2,J25,1943-08-18,788 Castillo Courts,75553,Mitchell-Odonnell,Media planner,False
947,Ellis,Joshua,E42,J2,1991-07-04,1512 Houston Fort,45772,Gilbert-Wilkerson,Diplomatic Services operational officer,True
948,Torres,Timothy,T62,T53,2007-05-26,60776 Baker Islands Apt. 973,73026,"Lutz, Anderson and Murphy","Journalist, broadcasting",False
949,Mclaughlin,Misty,M24245,M23,2006-02-27,188 Barnett Plaza Suite 475,61805,Lee Inc,"Sound technician, broadcasting/film/video",False
950,Gutierrez,Joshua,G362,J2,1952-06-01,2188 Johnson Village,51590,Alvarez Inc,Chief Financial Officer,True
951,Mathews,Charles,M32,C642,1965-10-19,970 Lynch Junctions,98037,Hunter LLC,"Production assistant, television",True
952,Marshall,Jonathan,M624,J535,1964-10-31,43701 Steven Bridge Apt. 004,40884,"Adams, Davis and Miller",Geophysical data processor,False
953,Lewis,Jessica,L2,J2,1985-08-30,9866 Scott Garden,12157,Smith-Hutchinson,"Journalist, broadcasting",False
954,Gibson,Dominic,G125,D52,1977-06-12,495 Duran Fall,42390,Smith Inc,Occupational therapist,True
955,Jones,Alyssa,J52,A42,1945-03-03,50449 Daniel Trail,24132,Mann-Huang,"Nurse, mental health",True
956,Thomas,Carla,T52,C64,1936-10-25,785 Kathleen Hill Suite 356,07984,"Gibson, Fisher and Pierce","Pharmacist, hospital",True
957,Hall,Pamela,H4,P54,2015-01-26,492 Barnes Fork,81572,"Williams, Sheppard and Sanchez",Corporate investment banker,True
958,Oneill,Robert,O54,R163,2013-09-02,66114 Tanya Cliffs,31068,Greer-Adkins,Corporate investment banker,True
959,Brown,Robert,B65,R163,1913-11-13,37411 Hall Dale,56853,Collins-Nielsen,Geophysical data processor,False
960,Brewer,Nicholas,B6,N242,2001-04-03,54416 Cory Tunnel Apt. 325,87918,Cox LLC,Quarry manager,True
961,Wise,Kimberly,W2,K5164,1943-09-18,154 Morgan Creek,63573,Gilbert-Wilkerson,Database administrator,False
962,Rogers,Courtney,R262,C635,1996-07-24,531 Adam Underpass,83440,"Wright, Johnson and Rice",Outdoor activities/education manager,False
963,Fox,Christopher,F2,C62316,1983-05-11,00070 Scott Passage,25109,Buck PLC,Outdoor activities/education manager,False
964,Smith,Rhonda,S53,R53,1996-08-17,3980 Mccarty Walk Suite 971,26535,"Adams, Davis and Miller",Advertising art director,True
965,Watson,Melissa,W325,M42,1979-10-01,54900 Cole Causeway Apt. 049,64662,Hunter LLC,Advertising art director,True
966,Phillips,Christopher,P412,C62316,1948-05-19,053 Perry Fords Suite 542,84063,Smith-Hutchinson,Agricultural engineer,True
967,Weeks,Jennifer,W2,J516,1981-12-20,1928 Miller Corner,30249,Smith Inc,Corporate investment banker,True
968,Smith,Caleb,S53,C41,1930-01-29,12304 Ronald Motorway,34360,Miller-Sanchez,Jewellery designer,True
969,Robertson,James,R16325,J52,1999-09-14,13657 Andrea Forks,34290,Bradford-Richardson,Radiation protection practitioner,False
970,Jimenez,Jennifer,J52,J516,1940-12-11,325 Jeremiah Vista,72884,Collins-Nielsen,"Surveyor, mining",False
971,Rocha,Debra,R2,D16,1989-09-19,95998 Moore Stravenue,07562,Mitchell-Odonnell,Financial controller,False
972,Thomas,Christina,T52,C6235,1946-08-25,91343 Andrew Shore Suite 857,26507,Alvarez Inc,Sports coach,True
973,Hall,Stephanie,H4,S315,1938-06-07,3793 Sullivan Mountains Apt. 209,75210,Collins-Nielsen,Hotel manager,False
974,Anderson,Thomas,A53625,T52,1938-11-22,170 Martin Vista,77983,Gilbert-Wilkerson,Sports coach,True
975,King,Christy,K52,C623,1965-05-26,80679 Allen Ranch Apt. 148,29485,Miller-Sanchez,Chartered loss adjuster,True
976,Thompson,Thomas,T5125,T52,2021-09-23,12893 Crystal Park Apt. 396,03781,Buck PLC,Occupational psychologist,True
977,Griffith,Heidi,G613,H3,1990-06-18,659 Turner Shore,53539,Foster Ltd,Jewellery designer,True
978,Garcia,Oscar,G62,O26,1995-07-28,829 Eric Inlet Apt. 105,64408,Cox LLC,"Scientist, research (physical sciences)",True
979,Rodriguez,Laurie,R362,L6,1929-05-11,62821 Shaw Plaza Apt. 571,67161,Mitchell-Odonnell,Advertising art director,False
980,Peters,Stephanie,P362,S315,1948-11-28,464 Kent Rapids Apt. 632,18478,"Wright, Johnson and Rice",Hydrogeologist,False
981,Wilson,Christopher,W425,C62316,1949-05-07,9791 Nathan Falls,25185,Hunter LLC,Race relations officer,True
982,Peck,Brenda,P2,B653,2019-02-21,4230 Joseph Port,01615,"Lutz, Anderson and Murphy","Horticulturist, amenity",True
983,Clark,Matthew,C462,M3,1964-03-06,087 Elaine Forge,14869,Mitchell-Odonnell,Corporate investment banker,True
984,Gutierrez,Tamara,G362,T56,1975-01-24,30553 Garcia Mills Suite 340,13458,"Mcintosh, Hancock and Payne",Manufacturing systems engineer,True
985,Flores,Julie,F462,J4,1920-04-20,0542 Julie Bridge,93010,"Sharp, Frye and Mathis","Horticulturist, amenity",False
986,Avila,Brian,A14,B65,1934-11-07,196 Erik Groves Suite 531,23065,Flores and Sons,"Surveyor, mining",True
987,Foster,Amy,F236,A5,1987-09-11,763 John Port Apt. 250,39783,Hunter LLC,Chief Financial Officer,False
988,Dixon,Curtis,D25,C632,1996-04-19,08316 Alan Road Apt. 573,29036,Baker-Ryan,Financial controller,True
989,Casey,Rebecca,C2,R12,1963-03-26,91199 Jodi Extension,31709,Smith-Hutchinson,Technical author,False
990,Spencer,Malik,S1526,M42,1951-11-30,17753 Decker Islands,91638,Collins-Nielsen,"Research officer, political party",True
991,Davis,Shannon,D12,S5,1953-12-24,351 Penny Divide,27897,Lane-Dickson,Quarry manager,True
992,Baker,Steven,B26,S315,1978-10-01,9357 Erin Unions Suite 988,33168,"Sanders, Armstrong and Rodriguez",Broadcast engineer,False
993,Brown,Jill,B65,J4,1955-10-25,68559 Jennifer Ranch,78736,Hogan-Lopez,Chief Financial Officer,False
994,Walker,Joseph,W426,J21,1981-01-03,913 John Summit,38397,Smith-Hutchinson,Chartered loss adjuster,False
995,Morales,Timothy,M642,T53,2009-01-16,762 David Plaza,92007,Mitchell-Odonnell,Manufacturing systems engineer,False
996,Lara,Laura,L6,L6,1977-08-21,007 Miles Ranch,66290,Solis-Morris,Occupational therapist,True
997,Morris,Angelica,M62,A5242,1991-08-28,134 Morgan Camp,20547,"Lutz, Anderson and Murphy",Hotel manager,True
998,Taylor,Shannon,T46,S5,1982-05-11,65840 Kelly Walk,89661,Turner and Sons,"Librarian, public",True
999,Ramsey,Taylor,R52,T46,1983-02-23,63233 Erica Isle,62758,Alvarez Inc,Diplomatic Services operational officer,True
1000,Walker,Abigail,W426,A124,1938-06-03,989 Norton Parks Apt. 269,96614,Solis-Morris,Mechanical engineer,True
